run,path,examples,exact_match,relaxed_match,dataset_score,avg_visual_tokens,avg_latency_s,oracle_overlap,budget_regret,under_budget_rate
fixed_36,results/fixed_36.jsonl,600.0,0.5466666666666666,0.5566666666666666,0.5386666666666666,36.0,0.2706715687166555,600.0,0.0,0.4533333333333333
fixed_64,results/fixed_64.jsonl,600.0,0.5566666666666666,0.57,0.5475,64.0,0.28504682993002156,600.0,15.306666666666667,0.028333333333333332
fixed_144,results/fixed_144.jsonl,600.0,0.5633333333333334,0.5833333333333334,0.5531666666666667,144.0,0.3050095177800055,600.0,93.04,0.013333333333333334
fixed_256,results/fixed_256.jsonl,600.0,0.5533333333333333,0.5716666666666667,0.5428333333333333,256.0,0.35394908950832815,600.0,203.54666666666665,0.0
router_prompt,results/router_prompt.jsonl,600.0,0.5583333333333333,0.5716666666666667,0.5485,87.20666666666666,0.29339082869834937,600.0,38.95333333333333,0.06333333333333334
router_image,results/router_image.jsonl,600.0,0.5716666666666667,0.5866666666666667,0.5606666666666666,104.88666666666667,0.2976618002983469,600.0,54.666666666666664,0.016666666666666666
router_multimodal,results/router_multimodal.jsonl,600.0,0.555,0.5683333333333334,0.5451666666666667,76.98666666666666,0.2892310198699973,600.0,34.24666666666667,0.25166666666666665
router_cross_attention,results/router_cross_attention.jsonl,600.0,0.5533333333333333,0.5666666666666667,0.5446666666666666,63.08,0.2848125229083159,600.0,15.0,0.058333333333333334
