run,examples,exact_match,relaxed_match,dataset_score,avg_visual_tokens,avg_latency_s
fixed_36,600,0.5466666666666666,0.5566666666666666,0.5386666666666666,36.0,0.2706715687166555
fixed_64,600,0.5566666666666666,0.57,0.5475,64.0,0.28504682993002156
fixed_144,600,0.5633333333333334,0.5833333333333334,0.5531666666666667,144.0,0.3050095177800055
fixed_256,600,0.5533333333333333,0.5716666666666667,0.5428333333333333,256.0,0.35394908950832815
router_prompt,600,0.5583333333333333,0.5716666666666667,0.5485,87.20666666666666,0.29339082869834937
router_image,600,0.5716666666666667,0.5866666666666667,0.5606666666666666,104.88666666666667,0.2976618002983469
router_multimodal,600,0.555,0.5683333333333334,0.5451666666666667,76.98666666666666,0.2892310198699973
router_cross_attention,600,0.5533333333333333,0.5666666666666667,0.5446666666666666,63.08,0.2848125229083159
