run,vqav2,gqa,textvqa,scienceqa_img,overall,avg_tokens
fixed_36,0.6733333333333333,0.7,0.2546666666666667,0.5266666666666666,0.5386666666666666,36.0
fixed_64,0.6866666666666666,0.7266666666666667,0.24333333333333335,0.5333333333333333,0.5475,64.0
fixed_144,0.6933333333333334,0.72,0.2793333333333333,0.52,0.5531666666666667,144.0
fixed_256,0.6866666666666666,0.7066666666666667,0.29800000000000004,0.48,0.5428333333333333,256.0
router_prompt,0.68,0.72,0.26733333333333337,0.5266666666666666,0.5485,87.20666666666666
router_image,0.6866666666666666,0.7333333333333333,0.2826666666666667,0.54,0.5606666666666666,104.88666666666667
router_multimodal,0.68,0.7133333333333334,0.26066666666666666,0.5266666666666666,0.5451666666666667,76.98666666666666
router_cross_attention,0.6866666666666666,0.7133333333333334,0.24533333333333332,0.5333333333333333,0.5446666666666666,63.08
